1248320694041096202,2020-04-09 18:43:40,"-25.7533, 28.1869",en,b'lockdown COVID_19 CoronaVirus',"b'His Excellency President Ramaphosa has extended the #lockdown by 2 weeks. The struggle against #COVID_19 is far from over. *All Ministers will donate 33.3% of their salaries to fight #CoronaVirus @ Pretoria, South\xe2\x80\xa6 https://t.co/41MwnX5DuZ'"
1248328064146309122,2020-04-09 19:12:57,"-2.11140947, -79.90571074",es,b'Ecuador COVID19 coronavirusec covid Covid_19 guayas guayaquil Ecuador crisis cuarentena quedatencasa',b'#Ecuador Sin ning\xc3\xban tipo de norma sanitaria se manipula y traslada a victimas por #COVID19 a los cementerios. #coronavirusec #covid         #Covid_19 #guayas #guayaquil #Ecuador #crisis #cuarentena #quedatencasa en\xe2\x80\xa6 https://t.co/2roSodRJoL'
1248328045620088833,2020-04-09 19:12:53,"-22.8775, -43.4331",pt,b'',"b'ASSOCIA\xc3\x87\xc3\x83O DE AMIGOS MUSICOS E ARTISTAS A UNI\xc3\x83O FAZ O SAMBA.\n\n  Diante dos fatos negativos , a infec\xc3\xa7\xc3\xa3o  de uma grande parte da popula\xc3\xa7\xc3\xa3o com O COVID -19 ,a proibi\xc3\xa7\xc3\xa3o de algumas pessoas sa\xc3\xadrem para garantir o seu\xe2\x80\xa6 https://t.co/IRTDLpDYOA'"
1248327697262141447,2020-04-09 19:11:30,"-22.9541561, -43.2012012",pt,b'covid_19 stayhome staysafe fiqueemcasa brwildanimals brasil_greatshots brasil_greatshots natgeo discoveryanimals jornaloglobo cuteoff',"b'Ensaios de uma quarentena - E a\xc3\xad macacada, todo mundo em casa?\n#covid_19 #stayhome #staysafe #fiqueemcasa #brwildanimals #brasil_greatshots  #brasil_greatshots #natgeo #discoveryanimals #jornaloglobo #cuteoff\xe2\x80\xa6 https://t.co/vO82s8pFTo'"
1248327616022622208,2020-04-09 19:11:11,"40.78694444, -73.97527778",en,b'',"b'This is a very sad day for us. Our dear Roy who has been a member of @lanewyorkina family for years, unfortunately lost his mother to COVID-19. She was so loving and kind and that love truly echoes through him.\xe2\x80\xa6 https://t.co/5tp9SRobaB'"
1248327446610546688,2020-04-09 19:10:30,"-23.3053, -45.9658",pt,b'',"b'Nesta quinta-feira (9), a Prefeitura de Jacare\xc3\xad informa o 5\xc2\xba caso confirmado de Coronav\xc3\xadrus (COVID-19) na cidade. Trata-se de uma mulher de 25 anos. Ela foi atendida em hospital de S\xc3\xa3o Jos\xc3\xa9 dos Campos e o resultado\xe2\x80\xa6 https://t.co/igavcY8whr'"
1248327388779483142,2020-04-09 19:10:16,"37.35786, -2.29884",es,b'roscos roscosfritos semanasanta cuarentena confinamiento COVID_19 nosvamosaponercomozoyos',"b'\xc2\xbfUnos roscos fritos? \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b\xf0\x9f\x98\x8b #roscos #roscosfritos #semanasanta #cuarentena #confinamiento #COVID_19 #nosvamosaponercomozoyos en Olula del R\xc3\xado, Spain https://t.co/pfdnB5ctJ8'"
1248327253026426881,2020-04-09 19:09:44,"39.9527, -75.1651",en,b'MOOD',"b'#MOOD\n\nPhoto 1: covid you f*cker\n\nPhotos 2-5: ART \xf0\x9f\x8e\xa8TYSM!! \n\nThrough all of this, people\xe2\x80\x99s creative forces continue to brighten our spirits. Our friend Ruthie aka boffostudios makes badass wearable paintings and\xe2\x80\xa6 https://t.co/xtB9N3ykYq'"
1248327160068214784,2020-04-09 19:09:22,"51.45470232, -2.61821884",en,b'nhs keyworkers covid nhs support love nhs nursepractitioner',"b'Thank you to all the #nhs and #keyworkers for the support with #covid #nhs #support #love feeling chuffed and proud to be a #nhs #nursepractitioner @ Clifton, Bristol, United Kingdom https://t.co/1p4MKe9Z9q'"
1248326928139980805,2020-04-09 19:08:27,"38.3503987, -122.7061249",en,b'',"b'As COVID-19 continues to advance throughout the community, there is an urgent and growing need for medical face shields for healthcare workers.  ClimatePro is partnering with trekboxx Trek Box Expeditions Systems and\xe2\x80\xa6 https://t.co/2YoCJqaip9'"
